What is your age (# years)?,percentage,year,
18-21,2.5,2018,18-21
22-24,11.6,2018,22-24
25-29,28.4,2018,25-29
30-34,25.5,2018,30-34
35-39,14.3,2018,35-39
40-44,6.0,2018,40-44
45-49,3.8,2018,45-49
50-54,2.9,2018,50-54
55-59,3.0,2018,55-59
60-69,1.6,2018,60-69
70+,0.4,2018,70+
18-21,1.0,2019,18-21
22-24,5.9,2019,22-24
25-29,23.0,2019,25-29
30-34,23.7,2019,30-34
35-39,17.4,2019,35-39
40-44,9.0,2019,40-44
45-49,6.4,2019,45-49
50-54,5.4,2019,50-54
55-59,4.5,2019,55-59
60-69,2.9,2019,60-69
70+,0.9,2019,70+
18-21,0.8,2020,18-21
22-24,4.1,2020,22-24
25-29,17.2,2020,25-29
30-34,27.2,2020,30-34
35-39,17.2,2020,35-39
40-44,10.8,2020,40-44
45-49,8.5,2020,45-49
50-54,5.7,2020,50-54
55-59,3.6,2020,55-59
60-69,3.9,2020,60-69
70+,1.0,2020,70+
18-21,1.4,2021,18-21
22-24,5.2,2021,22-24
25-29,16.3,2021,25-29
30-34,20.0,2021,30-34
35-39,19.7,2021,35-39
40-44,11.8,2021,40-44
45-49,8.2,2021,45-49
50-54,7.9,2021,50-54
55-59,4.8,2021,55-59
60-69,3.4,2021,60-69
70+,1.4,2021,70+
18-21,0.3,2022,18-21
22-24,2.3,2022,22-24
25-29,15.8,2022,25-29
30-34,22.9,2022,30-34
35-39,20.1,2022,35-39
40-44,12.7,2022,40-44
45-49,8.5,2022,45-49
50-54,7.1,2022,50-54
55-59,5.1,2022,55-59
60-69,4.5,2022,60-69
70+,0.8,2022,70+
