Does your current employer incorporate machine learning methods into their business?,percentage,year,
I do not know,3.1,2018,I do not know
No (we do not use ML methods),3.1,2018,No (we do not use ML methods)
,4.2,2018,
We use ML methods for generating insights (but do not put working models into production),14.2,2018,We use ML methods for generating insights (but do not put working models into production)
We are exploring ML methods (and may one day put a model into production),14.6,2018,We are exploring ML methods (and may one day put a model into production)
"We recently started using ML methods (i.e., models in production for less than 2 years)",29.7,2018,"We recently started using ML methods (i.e., models in production for less than 2 years)"
"We have well established ML methods (i.e., models in production for more than 2 years)",35.2,2018,"We have well established ML methods (i.e., models in production for more than 2 years)"
I do not know,2.0,2019,I do not know
No (we do not use ML methods),2.9,2019,No (we do not use ML methods)
,4.4,2019,
We are exploring ML methods (and may one day put a model into production),12.0,2019,We are exploring ML methods (and may one day put a model into production)
We use ML methods for generating insights (but do not put working models into production),13.2,2019,We use ML methods for generating insights (but do not put working models into production)
"We recently started using ML methods (i.e., models in production for less than 2 years)",27.8,2019,"We recently started using ML methods (i.e., models in production for less than 2 years)"
"We have well established ML methods (i.e., models in production for more than 2 years)",42.1,2019,"We have well established ML methods (i.e., models in production for more than 2 years)"
No (we do not use ML methods),2.5,2020,No (we do not use ML methods)
I do not know,3.0,2020,I do not know
,6.3,2020,
We are exploring ML methods (and may one day put a model into production),10.9,2020,We are exploring ML methods (and may one day put a model into production)
We use ML methods for generating insights (but do not put working models into production),16.1,2020,We use ML methods for generating insights (but do not put working models into production)
"We recently started using ML methods (i.e., models in production for less than 2 years)",21.3,2020,"We recently started using ML methods (i.e., models in production for less than 2 years)"
"We have well established ML methods (i.e., models in production for more than 2 years)",46.2,2020,"We have well established ML methods (i.e., models in production for more than 2 years)"
I do not know,2.8,2021,I do not know
,3.3,2021,
No (we do not use ML methods),5.2,2021,No (we do not use ML methods)
We use ML methods for generating insights (but do not put working models into production),11.0,2021,We use ML methods for generating insights (but do not put working models into production)
We are exploring ML methods (and may one day put a model into production),12.2,2021,We are exploring ML methods (and may one day put a model into production)
"We recently started using ML methods (i.e., models in production for less than 2 years)",21.8,2021,"We recently started using ML methods (i.e., models in production for less than 2 years)"
"We have well established ML methods (i.e., models in production for more than 2 years)",47.1,2021,"We have well established ML methods (i.e., models in production for more than 2 years)"
,0.9,2022,
No (we do not use ML methods),2.8,2022,No (we do not use ML methods)
I do not know,3.4,2022,I do not know
We are exploring ML methods (and may one day put a model into production),9.4,2022,We are exploring ML methods (and may one day put a model into production)
We use ML methods for generating insights (but do not put working models into production),15.1,2022,We use ML methods for generating insights (but do not put working models into production)
"We recently started using ML methods (i.e., models in production for less than 2 years)",21.7,2022,"We recently started using ML methods (i.e., models in production for less than 2 years)"
"We have well established ML methods (i.e., models in production for more than 2 years)",47.6,2022,"We have well established ML methods (i.e., models in production for more than 2 years)"
