,year,,value
20,2018,MATLAB,23.826291079812208
5,2018,Visual Studio / Visual Studio Code (VSCode),33.568075117370896
15,2018,PyCharm,39.31924882629108
10,2018,RStudio,68.77934272300469
0,2018,Jupyter Notebook / JupyterLab,89.55399061032864
21,2019,MATLAB,6.626506024096385
6,2019,Visual Studio / Visual Studio Code (VSCode),26.50602409638554
16,2019,PyCharm,28.012048192771083
11,2019,RStudio,46.234939759036145
1,2019,Jupyter Notebook / JupyterLab,81.02409638554217
22,2020,MATLAB,5.54089709762533
17,2020,PyCharm,26.649076517150394
7,2020,Visual Studio / Visual Studio Code (VSCode),35.35620052770449
12,2020,RStudio,41.68865435356201
2,2020,Jupyter Notebook / JupyterLab,71.2401055408971
23,2021,MATLAB,3.240740740740741
18,2021,PyCharm,25.694444444444443
13,2021,RStudio,37.26851851851852
8,2021,Visual Studio / Visual Studio Code (VSCode),40.50925925925926
3,2021,Jupyter Notebook / JupyterLab,82.63888888888889
24,2022,MATLAB,3.409090909090909
19,2022,PyCharm,26.988636363636363
14,2022,RStudio,33.23863636363637
9,2022,Visual Studio / Visual Studio Code (VSCode),51.13636363636363
4,2022,Jupyter Notebook / JupyterLab,82.10227272727273
