,year,,value
20,2018,None,0.0
25,2018,Other,3.4313725490196076
15,2018,PyTorch ,26.96078431372549
10,2018,Keras ,57.84313725490196
5,2018,TensorFlow ,64.33823529411765
0,2018,Scikit-learn ,88.11274509803921
21,2019,None,0.0
26,2019,Other,5.882352941176471
16,2019,PyTorch ,24.80127186009539
11,2019,Keras ,44.992050874403816
6,2019,TensorFlow ,45.46899841017488
1,2019,Scikit-learn ,81.24006359300476
22,2020,None,0.0
27,2020,Other,9.269662921348315
17,2020,PyTorch ,26.123595505617978
7,2020,TensorFlow ,42.97752808988764
12,2020,Keras ,46.62921348314607
2,2020,Scikit-learn ,79.49438202247191
23,2021,None,0.0
28,2021,Other,5.289672544080605
18,2021,PyTorch ,33.50125944584383
13,2021,Keras ,41.813602015113354
8,2021,TensorFlow ,46.85138539042821
3,2021,Scikit-learn ,86.90176322418137
24,2022,None,0.0
29,2022,Other,5.278592375366569
14,2022,Keras ,36.950146627565985
19,2022,PyTorch ,36.950146627565985
9,2022,TensorFlow ,42.52199413489736
4,2022,Scikit-learn ,88.26979472140762
