,year,,value
10,2018,C++,0.0
15,2018,C,0.0
30,2018,Javascript,0.0
35,2018,Other,2.7315914489311166
25,2018,Java,7.600950118764845
20,2018,R,53.681710213776725
5,2018,SQL,66.7458432304038
0,2018,Python,92.28028503562945
16,2019,C,4.511278195488722
11,2019,C++,6.917293233082707
26,2019,Java,6.917293233082707
31,2019,Javascript,10.977443609022556
36,2019,Other,11.428571428571429
21,2019,R,51.12781954887218
6,2019,SQL,70.37593984962406
1,2019,Python,91.42857142857143
17,2020,C,4.415584415584416
12,2020,C++,5.974025974025974
27,2020,Java,7.532467532467533
32,2020,Javascript,8.051948051948052
37,2020,Other,13.766233766233766
22,2020,R,45.714285714285715
7,2020,SQL,71.68831168831169
2,2020,Python,89.6103896103896
18,2021,C,3.6613272311212817
28,2021,Java,6.864988558352403
13,2021,C++,7.093821510297483
33,2021,Javascript,7.780320366132723
38,2021,Other,8.695652173913043
23,2021,R,44.16475972540046
8,2021,SQL,74.59954233409611
3,2021,Python,93.13501144164759
19,2022,C,4.261363636363637
14,2022,C++,5.965909090909091
29,2022,Java,5.965909090909091
34,2022,Javascript,6.818181818181818
39,2022,Other,7.386363636363637
24,2022,R,40.34090909090909
9,2022,SQL,70.17045454545455
4,2022,Python,95.17045454545455
