,year,,value
0,2018,Amazon Web Services (AWS) ,72.10401891252955
1,2019,Amazon Web Services (AWS) ,71.56398104265404
2,2020,Amazon Web Services (AWS) ,67.85714285714286
3,2021,Amazon Web Services (AWS) ,66.55844155844156
4,2022,Amazon Web Services (AWS) ,71.94570135746606
5,2018,Google Cloud Platform (GCP) ,30.73286052009456
6,2019,Google Cloud Platform (GCP) ,30.56872037914692
7,2020,Google Cloud Platform (GCP) ,30.555555555555557
8,2021,Google Cloud Platform (GCP) ,36.36363636363637
9,2022,Google Cloud Platform (GCP) ,45.248868778280546
10,2018,Microsoft Azure ,25.886524822695037
11,2019,Microsoft Azure ,24.407582938388625
12,2020,Microsoft Azure ,34.12698412698413
13,2021,Microsoft Azure ,33.116883116883116
14,2022,Microsoft Azure ,31.67420814479638
