,year,,value
0,2018,None,0.0
1,2019,None,0.0
2,2020,None,0.0
3,2021,None,0.0
4,2022,None,0.0
5,2018,Kaggle Notebooks,45.88014981273408
6,2019,Kaggle Notebooks,33.333333333333336
7,2020,Kaggle Notebooks,32.18884120171674
8,2021,Kaggle Notebooks,36.96369636963696
9,2022,Kaggle Notebooks,43.442622950819676
10,2018,Colab Notebooks,26.591760299625467
11,2019,Colab Notebooks,34.93333333333333
12,2020,Colab Notebooks,40.34334763948498
13,2021,Colab Notebooks,43.56435643564357
14,2022,Colab Notebooks,54.91803278688525
