,year,,value
35,2018,Fast.ai,16.200294550810014
5,2018,University Courses ,16.49484536082474
10,2018,Kaggle Learn Courses,17.52577319587629
15,2018,Udemy,31.075110456553755
30,2018,edX,31.075110456553755
20,2018,Udacity,35.198821796759944
25,2018,DataCamp,38.88070692194403
0,2018,Coursera,75.69955817378498
36,2019,Fast.ai,17.246835443037973
31,2019,edX,24.367088607594937
11,2019,Kaggle Learn Courses,28.955696202531644
21,2019,Udacity,29.430379746835442
16,2019,Udemy,30.854430379746834
26,2019,DataCamp,34.01898734177215
6,2019,University Courses ,45.25316455696203
1,2019,Coursera,71.99367088607595
37,2020,Fast.ai,17.665615141955836
22,2020,Udacity,24.290220820189276
32,2020,edX,26.813880126182966
17,2020,Udemy,27.444794952681388
12,2020,Kaggle Learn Courses,27.7602523659306
27,2020,DataCamp,36.59305993690852
7,2020,University Courses ,41.00946372239748
2,2020,Coursera,73.18611987381703
38,2021,Fast.ai,9.115281501340483
33,2021,edX,20.91152815013405
23,2021,Udacity,21.447721179624665
28,2021,DataCamp,29.758713136729224
18,2021,Udemy,35.388739946380696
13,2021,Kaggle Learn Courses,35.656836461126005
8,2021,University Courses ,38.8739946380697
3,2021,Coursera,68.63270777479893
39,2022,Fast.ai,12.688821752265861
34,2022,edX,19.637462235649547
24,2022,Udacity,28.700906344410875
14,2022,Kaggle Learn Courses,29.909365558912388
29,2022,DataCamp,32.02416918429003
19,2022,Udemy,38.670694864048336
9,2022,University Courses ,45.31722054380665
4,2022,Coursera,73.41389728096676
